# ISO 639 language table used by Nmkoder to name audio and subtitle tracks.
# Generated by .github/scripts/gen-iso639.py - edit that, not this file.
#
# Sources: ISO 639-3 register via pycountry 26.2.16, native names (autonyms)
# via langcodes/language_data 3.5.1, which draws on Unicode CLDR.
#
# The family column is intentionally blank: no register maps languages to families,
# and Aliases.cs stores the field without ever reading it. Kept for column layout.
Family,English Name,Native Name,ISO 639-1,ISO 639-2/T,ISO 639-2/B
,North Ndebele,isiNdebele,nd,nde,
,Northern Sami,davvisámegiella,se,sme,
,Norwegian,norsk,no,nor,
,Norwegian Bokmål,norsk bokmål,nb,nob,
,Norwegian Nynorsk,norsk nynorsk,nn,nno,
,Occitan,occitan,oc,oci,
,Ojibwa,Ojibwa,oj,oji,
,Oriya,ଓଡ଼ିଆ,or,ori,
,Oromo,Oromoo,om,orm,
,Ossetian,ирон,os,oss,
,Pali,Pali,pi,pli,
,Panjabi,ਪੰਜਾਬੀ,pa,pan,
,Persian,فارسی,fa,fas,per
,Polish,polski,pl,pol,
,Portuguese,português,pt,por,
,Pushto,پښتو,ps,pus,
,Quechua,Runasimi,qu,que,
,Romanian,română,ro,ron,rum
,Romansh,rumantsch,rm,roh,
,Rundi,Ikirundi,rn,run,
,Russian,русский,ru,rus,
,Samoan,Samoan,sm,smo,
,Sango,Sängö,sg,sag,
,Sanskrit,संस्कृत भाषा,sa,san,
,Sardinian,sardu,sc,srd,
,Scottish Gaelic,Gàidhlig,gd,gla,
,Serbian,српски,sr,srp,
,Serbo-Croatian,srpski (latinica),sh,hbs,
,Shona,chiShona,sn,sna,
,Sichuan Yi,ꆈꌠꉙ,ii,iii,
,Sindhi,سنڌي,sd,snd,
,Sinhala,සිංහල,si,sin,
,Slovak,slovenčina,sk,slk,slo
,Slovenian,slovenščina,sl,slv,
,Somali,Soomaali,so,som,
,South Ndebele,South Ndebele,nr,nbl,
,Southern Sotho,Sesotho,st,sot,
,Spanish,español,es,spa,
,Sundanese,Basa Sunda,su,sun,
,Swahili,Kiswahili,sw,swa,
,Swati,siSwati,ss,ssw,
,Swedish,svenska,sv,swe,
,Tagalog,Filipino,tl,tgl,
,Tahitian,Tahitian,ty,tah,
,Tajik,тоҷикӣ,tg,tgk,
,Tamil,தமிழ்,ta,tam,
,Tatar,татар,tt,tat,
,Telugu,తెలుగు,te,tel,
,Thai,ไทย,th,tha,
,Tibetan,བོད་སྐད་,bo,bod,tib
,Tigrinya,ትግርኛ,ti,tir,
,Tonga (Tonga Islands),lea fakatonga,to,ton,
,Tsonga,Tsonga,ts,tso,
,Tswana,Setswana,tn,tsn,
,Turkish,Türkçe,tr,tur,
,Turkmen,türkmen dili,tk,tuk,
,Twi,Akan,tw,twi,
,Uighur,ئۇيغۇرچە,ug,uig,
,Ukrainian,українська,uk,ukr,
,Urdu,اردو,ur,urd,
,Uzbek,o‘zbek,uz,uzb,
,Venda,tshiVenḓa,ve,ven,
,Vietnamese,Tiếng Việt,vi,vie,
,Volapük,Volapük,vo,vol,
,Walloon,walon,wa,wln,
,Welsh,Cymraeg,cy,cym,wel
,Western Frisian,Frysk,fy,fry,
,Wolof,Wolof,wo,wol,
,Xhosa,IsiXhosa,xh,xho,
,Yiddish,ייִדיש,yi,yid,
,Yoruba,Èdè Yorùbá,yo,yor,
,Zhuang,Vahcuengh,za,zha,
,Zulu,isiZulu,zu,zul,
,'Are'are,'Are'are,,alu,
,'Auhelawa,'Auhelawa,,kud,
,A'ou,A'ou,,aou,
,A-Pucikwar,A-Pucikwar,,apq,
,Aari,Aari,,aiw,
,Aasáx,Aasáx,,aas,
,Abadi,Abadi,,kbt,
,Abaga,Abaga,,abg,
,Abai Sungai,Abai Sungai,,abf,
,Abanyom,Abanyom,,abm,
,Abar,Abar,,mij,
,Abau,Abau,,aau,
,Abaza,Abaza,,abq,
,Abellen Ayta,Abellen Ayta,,abp,
,Abidji,Abidji,,abi,
,Abinomn,Abinomn,,bsa,
,Abipon,Abipon,,axb,
,Abishira,Abishira,,ash,
,Abom,Abom,,aob,
,Abon,Abon,,abo,
,Abron,Abron,,abr,
,Abu,Abu,,ado,
,Abu' Arapesh,Abu' Arapesh,,aah,
,Abua,Abua,,abn,
,Abui,Abui,,abz,
,Abun,Abun,,kgr,
,Abure,Abure,,abu,
,Abureni,Abureni,,mgj,
,Abé,Abé,,aba,
,Acatepec Me'phaa,Acatepec Me'phaa,,tpx,
,Achagua,Achagua,,aca,
,Achang,Achang,,acn,
,Ache,Ache,,yif,
,Acheron,Acheron,,acz,
,Achi,Achi,,acr,
,Achinese,Acehnese,,ace,
,Achterhoeks,Achterhoeks,,act,
,Achuar-Shiwiar,Achuar-Shiwiar,,acu,
,Achumawi,Achumawi,,acv,
,Aché,Aché,,guq,
,Acoli,Acoli,,ach,
,Acroá,Acroá,,acs,
,Adai,Adai,,xad,
,Adamawa Fulfulde,Adamawa Fulfulde,,fub,
,Adamorobe Sign Language,Adamorobe Sign Language,,ads,
,Adang,Adang,,adn,
,Adangbe,Adangbe,,adq,
,Adangme,Adangme,,ada,
,Adara,Adara,,kad,
,Adasen,Adasen,,tiu,
,Adele,Adele,,ade,
,Adhola,Adhola,,adh,
,Adi,Adi,,adi,
,Adilabad Gondi,Adilabad Gondi,,wsg,
,Adioukrou,Adioukrou,,adj,
,Adithinngithigh,Adithinngithigh,,dth,
,Adivasi Oriya,Adivasi Oriya,,ort,
,Adiwasi Garasia,Adiwasi Garasia,,gas,
,Adnyamathanha,Adnyamathanha,,adt,
,Adonara,Adonara,,adr,
,Aduge,Aduge,,adu,
,Adyghe,Adyghe,,ady,
,Adzera,Adzera,,adz,
,Aeka,Aeka,,aez,
,Aekyom,Aekyom,,awi,
,Aequian,Aequian,,xae,
,Aer,Aer,,aeq,
,Afade,Afade,,aal,
,Afghan Sign Language,Afghan Sign Language,,afg,
,Afitti,Afitti,,aft,
,Afrihili,Afrihili,,afh,
,Afro-Seminole Creole,Afro-Seminole Creole,,afs,
,Agarabi,Agarabi,,agd,
,Agariya,Agariya,,agi,
,Agatu,Agatu,,agc,
,Agavotaguerra,Agavotaguerra,,avo,
,Aghem,Aghem,,agq,
,Aghu,Aghu,,ahh,
,Aghu-Tharnggala,Aghu-Tharnggala,,gtu,
,Aghul,Aghul,,agx,
,Aghwan,Aghwan,,xag,
,Agi,Agi,,aif,
,Agob,Agob,,kit,
,Agoi,Agoi,,ibm,
,Aguacateco,Aguacateco,,agu,
,Aguano,Aguano,,aga,
,Aguaruna,Aguaruna,,agr,
,Aguna,Aguna,,aug,
,Agusan Manobo,Agusan Manobo,,msm,
,Agutaynen,Agutaynen,,agn,
,Agwagwune,Agwagwune,,yay,
,Ahanta,Ahanta,,aha,
,Aheri Gondi,Aheri Gondi,,esg,
,Aheu,Aheu,,thm,
,Ahirani,Ahirani,,ahr,
,Ahom,Ahom,,aho,
,Ahtena,Ahtena,,aht,
,Ahwai,Ahwai,,nfd,
,Ai-Cham,Ai-Cham,,aih,
,Aighon,Aighon,,aix,
,Aikanã,Aikanã,,tba,
,Aiklep,Aiklep,,mwg,
,Aimaq,Aimaq,,aiq,
,Aimele,Aimele,,ail,
,Aimol,Aimol,,aim,
,Ainbai,Ainbai,,aic,
,Ainu (China),Ainu (China),,aib,
,Ainu (Japan),Ainu,,ain,
,Aiome,Aiome,,aki,
,Airoran,Airoran,,air,
,Aiton,Aiton,,aio,
,Aja (Benin),Aja (Benin),,ajg,
,Aja (South Sudan),Aja (South Sudan),,aja,
,Ajawa,Ajawa,,ajw,
,Ajië,Ajië,,aji,
,Ajumbu,Ajumbu,,muc,
,Ajyíninka Apurucayali,Ajyíninka Apurucayali,,cpc,
,Ak,Ak,,akq,
,Aka,Aka,,soh,
,Aka-Bea,Aka-Bea,,abj,
,Aka-Bo,Aka-Bo,,akm,
,Aka-Cari,Aka-Cari,,aci,
,Aka-Jeru,Aka-Jeru,,akj,
,Aka-Kede,Aka-Kede,,akx,
,Aka-Kol,Aka-Kol,,aky,
,Aka-Kora,Aka-Kora,,ack,
,Akar-Bale,Akar-Bale,,acl,
,Akaselem,Akaselem,,aks,
,Akawaio,Akawaio,,ake,
,Ake,Ake,,aik,
,Akebu,Akebu,,keu,
,Akei,Akei,,tsr,
,Akeu,Akeu,,aeu,
,Akha,Akha,,ahk,
,Akhvakh,Akhvakh,,akv,
,Akkadian,Akkadian,,akk,
,Akkala Sami,Akkala Sami,,sia,
,Aklanon,Aklanon,,akl,
,Akolet,Akolet,,akt,
,Akoose,Akoose,,bss,
,Akoye,Akoye,,miw,
,Akpa,Akpa,,akf,
,Akpes,Akpes,,ibe,
,Akrukay,Akrukay,,afi,
,Akukem,Akukem,,spm,
,Akuku,Akuku,,ayk,
,Akum,Akum,,aku,
,Akuntsu,Akuntsu,,aqz,
,Akurio,Akurio,,ako,
,Akwa,Akwa,,akw,
,Akyaung Ari Naga,Akyaung Ari Naga,,nqy,
,Al-Sayyid Bedouin Sign Language,Al-Sayyid Bedouin Sign Language,,syy,
,Alaba-K’abeena,Alaba-K’abeena,,alw,
,Alabama,Alabama,,akz,
,Alabat Island Agta,Alabat Island Agta,,dul,
,Alacatlatzala Mixtec,Alacatlatzala Mixtec,,mim,
,Alago,Alago,,ala,
,Alagwa,Alagwa,,wbj,
,Alak,Alak,,alk,
,Alamblak,Alamblak,,amp,
,Alangan,Alangan,,alj,
,Alanic,Alanic,,xln,
,Alapmunte,Alapmunte,,apv,
,Alawa,Alawa,,alh,
,Albanian Sign Language,Albanian Sign Language,,sqk,
,Albarradas Sign Language,Unknown language [lsc],,lsc,
,Alcozauca Mixtec,Alcozauca Mixtec,,xta,
,Alege,Alege,,alf,
,Alekano,Alekano,,gah,
,Aleut,Aleut,,ale,
,Algerian Arabic,Algerian Arabic,,arq,
,Algerian Jewish Sign Language,Unknown language [ajs],,ajs,
,Algerian Saharan Arabic,Algerian Saharan Arabic,,aao,
,Algerian Sign Language,Algerian Sign Language,,asp,
,Algonquin,Algonquin,,alq,
,Ali,Ali,,aiy,
,Alladian,Alladian,,ald,
,Allar,Allar,,all,
,Alngith,Alngith,,aid,
,Alo Phola,Alo Phola,,ypo,
,Alor,Alor,,aol,
,Aloápam Zapotec,Aloápam Zapotec,,zaq,
,Alsea,Alsea,,aes,
,Alu Kurumba,Alu Kurumba,,xua,
,Alugu,Alugu,,aub,
,Alumu-Tesu,Alumu-Tesu,,aab,
,Alune,Alune,,alp,
,Aluo,Aluo,,yna,
,Alur,Alur,,alz,
,Alutor,Alutor,,alr,
,Alviri-Vidari,Alviri-Vidari,,avd,
,Alyawarr,Alyawarr,,aly,
,Ama (Papua New Guinea),Ama (Papua New Guinea),,amm,
,Ama (Sudan),Ama (Sudan),,nyi,
,Amahai,Amahai,,amq,
,Amahuaca,Amahuaca,,amc,
,Amaimon,Amaimon,,ali,
,Amal,Amal,,aad,
,Amami Koniya Sign Language,Amami Koniya Sign Language,,jks,
,Amanab,Amanab,,amn,
,Amanayé,Amanayé,,ama,
,Amara,Amara,,aie,
,Amarakaeri,Amarakaeri,,amr,
,Amarasi,Amarasi,,aaz,
,Amatlán Zapotec,Amatlán Zapotec,,zpo,
,Amba (Solomon Islands),Amba (Solomon Islands),,utp,
,Amba (Uganda),Amba (Uganda),,rwm,
,Ambai,Ambai,,amk,
,Ambakich,Ambakich,,aew,
,Ambala Ayta,Ambala Ayta,,abc,
,Ambelau,Ambelau,,amv,
,Ambele,Ambele,,ael,
,Amblong,Amblong,,alm,
,Ambo,Ambo,,amb,
,Ambo-Pasco Quechua,Ambo-Pasco Quechua,,qva,
,Ambonese Malay,Ambonese Malay,,abs,
,Ambrak,Ambrak,,aag,
,Ambul,Ambul,,apo,
,Ambulas,Ambulas,,abt,
,Amdang,Amdang,,amj,
,Amdo Tibetan,Amdo Tibetan,,adx,
,Amele,Amele,,aey,
,American Sign Language,American Sign Language,,ase,
,Amganad Ifugao,Amganad Ifugao,,ifa,
,Ami,Ami,,amy,
,Amis,Amis,,ami,
,Amo,Amo,,amo,
,Amol,Amol,,alx,
,Amoltepec Mixtec,Amoltepec Mixtec,,mbz,
,Ampanang,Ampanang,,apg,
,Ampari Dogon,Ampari Dogon,,aqd,
,Amri Karbi,Amri Karbi,,ajz,
,Amto,Amto,,amt,
,Amundava,Amundava,,adw,
,Amurdak,Amurdak,,amg,
,Ana Tinga Dogon,Ana Tinga Dogon,,dti,
,Anaang,Anaang,,anw,
,Anakalangu,Anakalangu,,akg,
,Anal,Anal,,anm,
,Anam,Anam,,pda,
,Anambé,Anambé,,aan,
,Anamgura,Anamgura,,imi,
,Anasi,Anasi,,bpo,
,Ancient Greek,Ancient Greek,,grc,
,Ancient Hebrew,Ancient Hebrew,,hbo,
,Ancient Macedonian,Ancient Macedonian,,xmk,
,Ancient North Arabian,Ancient North Arabian,,xna,
,Ancient Zapotec,Ancient Zapotec,,xzp,
,Andaandi,Andaandi,,dgl,
,Andai,Andai,,afd,
,Andajin,Andajin,,ajn,
,Andalusian Arabic,Andalusian Arabic,,xaa,
,Andaman Creole Hindi,Andaman Creole Hindi,,hca,
,Andaqui,Andaqui,,ana,
,Andarum,Andarum,,aod,
,Andegerebinha,Andegerebinha,,adg,
,Andh,Andh,,anr,
,Andi,Andi,,ani,
,Andio,Andio,,bzb,
,Andoa,Andoa,,anb,
,Andoque,Andoque,,ano,
,Andra-Hus,Andra-Hus,,anx,
,Aneityum,Aneityum,,aty,
,Anem,Anem,,anz,
,Aneme Wake,Aneme Wake,,aby,
,Anfillo,Anfillo,,myo,
,Angaataha,Angaataha,,agm,
,Angaité,Angaité,,aqt,
,Angal,Angal,,age,
,Angal Enen,Angal Enen,,aoe,
,Angal Heneng,Angal Heneng,,akh,
,Angami Naga,Angami Naga,,njm,
,Angguruk Yali,Angguruk Yali,,yli,
,Angika,Angika,,anp,
,Angkamuthi,Angkamuthi,,avm,
,Anglo-Norman,Anglo-Norman,,xno,
,Angloromani,Angloromani,,rme,
,Angolar,Angolar,,aoa,
,Angor,Angor,,agg,
,Angoram,Angoram,,aog,
,Angosturas Tunebo,Angosturas Tunebo,,tnd,
,Anguthimri,Anguthimri,,awg,
,Ani Phowa,Ani Phowa,,ypn,
,Anii,anii kagɩja,,blo,
,Animere,Animere,,anf,
,Anindilyakwa,Anindilyakwa,,aoi,
,Aninka,Aninka,,aqk,
,Anjam,Anjam,,boj,
,Ankave,Ankave,,aak,
,Anmatyerre,Anmatyerre,,amx,
,Anong,Anong,,nun,
,Anor,Anor,,anj,
,Anserma,Anserma,,ans,
,Ansus,Ansus,,and,
,Antakarinya,Antakarinya,,ant,
,Antankarana Malagasy,Antankarana Malagasy,,xmv,
,Antigua and Barbuda Creole English,Antigua and Barbuda Creole English,,aig,
,Anu-Hkongso Chin,Anu-Hkongso Chin,,anl,
,Anuak,Anuak,,anu,
,Anufo,Anufo,,cko,
,Anuki,Anuki,,aui,
,Anus,Anus,,auq,
,Anuta,Anuta,,aud,
,Anyin,Anyin,,any,
,Anyin Morofo,Anyin Morofo,,mtb,
,Ao Naga,Ao Naga,,njo,
,Aoheng,Aoheng,,pni,
,Aore,Aore,,aor,
,Ap Ma,Ap Ma,,kbx,
,Apalachee,Apalachee,,xap,
,Apalaí,Apalaí,,apy,
,Apali,Apali,,ena,
,Apasco-Apoala Mixtec,Apasco-Apoala Mixtec,,mip,
,Apatani,Apatani,,apt,
,Apiaká,Apiaká,,api,
,Apinayé,Apinayé,,apn,
,Apma,Apma,,app,
,Aproumu Aizi,Aproumu Aizi,,ahp,
,Apurinã,Apurinã,,apu,
,Aputai,Aputai,,apx,
,Aquitanian,Aquitanian,,xaq,
,Arabana,Arabana,,ard,
,Arabela,Arabela,,arl,
,Araki,Araki,,akr,
,Arakwal,Arakwal,,rkw,
,Aralle-Tabulahan,Aralle-Tabulahan,,atq,
,Arammba,Arammba,,stk,
,Aranadan,Aranadan,,aaf,
,Aranama-Tamique,Aranama-Tamique,,xrt,
,Arandai,Arandai,,jbj,
,Araona,Araona,,aro,
,Arapaho,Arapaho,,arp,
,Arapaso,Arapaso,,arj,
,Ararandewára,Ararandewára,,xaj,
,Arawak,Arawak,,arw,
,Araweté,Araweté,,awt,
,Arawum,Arawum,,awm,
,Arbore,Arbore,,arv,
,Arbëreshë Albanian,Arbëreshë Albanian,,aae,
,Archi,Archi,,aqc,
,Ardhamāgadhī Prākrit,Ardhamāgadhī Prākrit,,pka,
,Are,Are,,mwc,
,Areba,Areba,,aea,
,Arem,Arem,,aem,
,Arequipa-La Unión Quechua,Arequipa-La Unión Quechua,,qxu,
,Argentine Sign Language,Argentine Sign Language,,aed,
,Argobba,Argobba,,agj,
,Arguni,Arguni,,agf,
,Arhuaco,Arhuaco,,arh,
,Arhâ,Arhâ,,aqr,
,Arhö,Arhö,,aok,
,Ari,Ari,,aac,
,Aribwatsa,Aribwatsa,,laz,
,Aribwaung,Aribwaung,,ylu,
,Arifama-Miniafia,Arifama-Miniafia,,aai,
,Arigidi,Arigidi,,aqg,
,Arikapú,Arikapú,,ark,
,Arikara,Arikara,,ari,
,Arikem,Arikem,,ait,
,Arin,Arin,,xrn,
,Aringa,Aringa,,luc,
,Armazic,Armazic,,xrm,
,Armenian Sign Language,Armenian Sign Language,,aen,
,Arop-Lokep,Arop-Lokep,,apr,
,Arop-Sissano,Arop-Sissano,,aps,
,Arosi,Arosi,,aia,
,Arpitan,Arpitan,,frp,
,Arritinngithigh,Arritinngithigh,,rrt,
,Arta,Arta,,atz,
,Aruamu,Aruamu,,msy,
,Aruek,Aruek,,aur,
,Aruop,Aruop,,lsr,
,Arutani,Arutani,,atx,
,Aruá (Amazonas State),Aruá (Amazonas State),,aru,
,Aruá (Rodonia State),Aruá (Rodonia State),,arx,
,Arvanitika Albanian,Arvanitika Albanian,,aat,
,As,As,,asz,
,Asaro'o,Asaro'o,,mtv,
,Ashe,Ashe,,ahs,
,Ashkun,Ashkun,,ask,
,Asho Chin,Asho Chin,,csh,
,Ashtiani,Ashtiani,,atn,
,Asháninka,Asháninka,,cni,
,Ashéninka Pajonal,Ashéninka Pajonal,,cjo,
,Ashéninka Perené,Ashéninka Perené,,prq,
,Asilulu,Asilulu,,asl,
,Askopan,Askopan,,eiv,
,Asoa,Asoa,,asv,
,Assangori,Assangori,,sjg,
,Assiniboine,Assiniboine,,asb,
,Assyrian Neo-Aramaic,Assyrian Neo-Aramaic,,aii,
,Asturian,asturianu,,ast,
,Asu (Nigeria),Asu (Nigeria),,aum,
,Asu (Tanzania),Kipare,,asa,
,Asue Awyu,Asue Awyu,,psa,
,Asumboa,Asumboa,,aua,
,Asunción Mixtepec Zapotec,Asunción Mixtepec Zapotec,,zoo,
,Asuri,Asuri,,asr,
,Ata,Ata,,atm,
,Ata Manobo,Ata Manobo,,atd,
,Atakapa,Atakapa,,aqp,
,Atampaya,Atampaya,,amz,
,Atatláhuca Mixtec,Atatláhuca Mixtec,,mib,
,Atauran,Atauran,,adb,
,Atayal,Atayal,,tay,
,Atemble,Atemble,,ate,
,Athpariya,Athpariya,,aph,
,Ati,Ati,,atk,
,Atikamekw,Atikamekw,,atj,
,Atohwaim,Atohwaim,,aqm,
,Atong (Cameroon),Atong (Cameroon),,ato,
,Atong (India),Atong (India),,aot,
,Atorada,Atorada,,aox,
,Atsahuaca,Atsahuaca,,atc,
,Atsam,Atsam,,cch,
,Atsugewi,Atsugewi,,atw,
,Attapady Kurumba,Attapady Kurumba,,pkr,
,Attié,Attié,,ati,
,Atzingo Matlatzinca,Atzingo Matlatzinca,,ocu,
,Au,Au,,avt,
,Aulua,Aulua,,aul,
,Aurá,Aurá,,aux,
,Aushi,Aushi,,auh,
,Aushiri,Aushiri,,avs,
,Auslan,Auslan,,asf,
,Austral,Austral,,aut,
,Australian Aborigines Sign Language,Australian Aborigines Sign Language,,asw,
,Austrian Sign Language,Austrian Sign Language,,asq,
,Auwe,Auwe,,smf,
,Auye,Auye,,auu,
,Auyokawa,Auyokawa,,auo,
,Avatime,Avatime,,avn,
,Avau,Avau,,avb,
,Avikam,Avikam,,avi,
,Avokaya,Avokaya,,avu,
,Avá-Canoeiro,Avá-Canoeiro,,avv,
,Awa (China),Awa (China),,vwa,
,Awa (Papua New Guinea),Awa (Papua New Guinea),,awb,
,Awa-Cuaiquer,Awa-Cuaiquer,,kwi,
,Awabakal,Awabakal,,awk,
,Awad Bing,Awad Bing,,bcu,
,Awadhi,Awadhi,,awa,
,Awak,Awak,,awo,
,Awar,Awar,,aya,
,Awara,Awara,,awx,
,Awbono,Awbono,,awh,
,Aweer,Aweer,,bob,
,Awera,Awera,,awr,
,Awetí,Awetí,,awe,
,Awing,Awing,,azo,
,Awiyaana,Awiyaana,,auy,
,Awjilah,Awjilah,,auj,
,Awngi,Awngi,,awn,
,Awngthim,Awngthim,,gwm,
,Awtuw,Awtuw,,kmn,
,Awu,Awu,,yiu,
,Awun,Awun,,aww,
,Awutu,Awutu,,afu,
,Awyi,Awyi,,auw,
,Axamb,Axamb,,ahb,
,Axi Yi,Axi Yi,,yix,
,Ayabadhu,Ayabadhu,,ayd,
,Ayacucho Quechua,Ayacucho Quechua,,quy,
,Ayautla Mazatec,Ayautla Mazatec,,vmy,
,Ayere,Ayere,,aye,
,Ayerrerenge,Ayerrerenge,,axe,
,Ayi (Papua New Guinea),Ayi (Papua New Guinea),,ayq,
,Ayiwo,Ayiwo,,nfl,
,Ayizi,Ayizi,,yyz,
,Ayizo Gbe,Ayizo Gbe,,ayb,
,Ayoquesco Zapotec,Ayoquesco Zapotec,,zaf,
,Ayoreo,Ayoreo,,ayo,
,Ayu,Ayu,,ayu,
,Ayutla Mixtec,Ayutla Mixtec,,miy,
,Azha,Azha,,aza,
,Azhe,Azhe,,yiz,
,Azoyú Me'phaa,Azoyú Me'phaa,,tpc,
,Baan,Baan,,bvj,
,Baangi,Baangi,,bqx,
,Baatonum,Baatonum,,bba,
,Baba,Baba,,bbw,
,Baba Malay,Baba Malay,,mbf,
,Babango,Babango,,bbm,
,Babanki,Babanki,,bbk,
,Babatana,Babatana,,baa,
,Babine,Babine,,bcr,
,Babuza,Babuza,,bzg,
,Bacama,Bacama,,bcy,
,Bacanese Malay,Bacanese Malay,,btj,
,Bactrian,Bactrian,,xbc,
,Bada (Indonesia),Bada (Indonesia),,bhz,
,Bada (Nigeria),Bada (Nigeria),,bau,
,Badaga,Badaga,,bfq,
,Bade,Bade,,bde,
,Badeshi,Badeshi,,bdz,
,Badimaya,Badimaya,,bia,
,Badjiri,Badjiri,,jbi,
,Badui,Badui,,bac,
,Badyara,Badyara,,pbp,
,Baeggu,Baeggu,,bvd,
,Baelelea,Baelelea,,bvc,
,Baetora,Baetora,,btr,
,Bafanji,Bafanji,,bfj,
,Bafaw-Balong,Bafaw-Balong,,bwt,
,Bafia,rikpa,,ksf,
,Bafut,Bafut,,bfd,
,Baga Kaloum,Baga Kaloum,,bqf,
,Baga Koga,Baga Koga,,bgo,
,Baga Manduri,Baga Manduri,,bmd,
,Baga Pokur,Baga Pokur,,bcg,
